File List			Date:   8.11.1918    Time:  03:38

File Name: D:\ESR-DATA\PRAKTI~1\WISE1819\TEAM3~1\TAG1~1\sp01.spc

 Data Point  Value[G]     Intensity
     626    3366.5963    -3.4000e+001
     627    3366.6452    -2.5500e+001
     628    3366.6940    -2.5500e+001
     629    3366.7429    -1.8500e+001
     630    3366.7918    -3.2000e+001
     631    3366.8407    -3.4500e+001
     632    3366.8895    -3.2500e+001
     633    3366.9384    -2.7500e+001
     634    3366.9873    -3.4500e+001
     635    3367.0362    -3.8000e+001
     636    3367.0850    -2.2500e+001
     637    3367.1339    -2.5500e+001
     638    3367.1828    -2.5500e+001
     639    3367.2317    -4.0000e+001
     640    3367.2805    -2.5000e+001
     641    3367.3294    -3.0000e+001
     642    3367.3783    -3.0000e+001
     643    3367.4272    -4.0000e+001
     644    3367.4761    -3.0500e+001
     645    3367.5249    -3.8000e+001
     646    3367.5738    -3.4500e+001
     647    3367.6227    -2.9500e+001
     648    3367.6716    -2.8000e+001
     649    3367.7204    -3.7500e+001
     650    3367.7693    -4.8000e+001
     651    3367.8182    -3.5500e+001
     652    3367.8671    -2.6000e+001
     653    3367.9159    -3.0500e+001
     654    3367.9648    -4.2000e+001
     655    3368.0137    -2.2500e+001
     656    3368.0626    -2.8500e+001
     657    3368.1114    -3.2500e+001
     658    3368.1603    -2.6000e+001
     659    3368.2092    -2.8500e+001
     660    3368.2581    -3.4500e+001
     661    3368.3069    -2.4500e+001
     662    3368.3558    -3.7000e+001
     663    3368.4047    -2.4000e+001
     664    3368.4536    -2.7000e+001
     665    3368.5024    -2.4500e+001
     666    3368.5513    -2.3500e+001
     667    3368.6002    -2.2000e+001
     668    3368.6491    -3.2500e+001
     669    3368.6979    -1.8500e+001
     670    3368.7468    -2.2500e+001
     671    3368.7957    -3.7500e+001
     672    3368.8446    -3.0000e+001
     673    3368.8935    -1.0500e+001
     674    3368.9423    -2.2500e+001
     675    3368.9912    -1.1500e+001
     676    3369.0401    -2.0500e+001
     677    3369.0890    -3.6000e+001
     678    3369.1378    -3.2500e+001
     679    3369.1867    -6.5000e+000
     680    3369.2356    -2.3500e+001
     681    3369.2845    -2.2000e+001
     682    3369.3333    -2.6000e+001
     683    3369.3822    -3.2000e+001
     684    3369.4311    -2.5000e+001
     685    3369.4800    -2.2000e+001
     686    3369.5288    -2.8000e+001
     687    3369.5777    -3.1000e+001
     688    3369.6266    -3.0000e+001
     689    3369.6755    -1.6000e+001
