,index,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
1124,1482825,1105605760,2015-01-31T00:00:00,120.0,,,CA,201504.0,,KIA,PA,BR,2800 THOMAS,4X55,1.0,8069B,NO PARKING,73.0,6499470.1,1850815.1
1125,1482962,1108699454,2015-01-30T00:00:00,2335.0,,,CA,201512.0,,LEXU,SU,BR,22400 HALLDALE AVE,,36.0,6344K2,NO PK BET 1-3AM,68.0,6470079.2,1758237.2
1126,1483061,1109649026,2015-02-02T00:00:00,1418.0,,,CO,201509.0,,MNNI,PA,BR,7050 HAWTHORN AV,00463,54.0,8056E4,RED ZONE,93.0,6457797.2,1859076.7
1127,1483083,1109649763,2015-01-30T00:00:00,1612.0,,,CA,,,,TR,BR,207 S VERMONT AV,00481,54.0,8069AP,NO STOP/STAND PM,93.0,99999.0,99999.0
1128,1483125,1109652493,2015-02-03T00:00:00,1205.0,,,CA,201409.0,,TOYO,PA,BR,631 N GOWER ST,00477,54.0,5204A,EXPIRED TAGS,25.0,6463954.0,1852474.7
1129,1483130,1109652633,2015-02-02T00:00:00,1258.0,,,CA,,,,TR,BR,200 N NORMANDIE AVE,00481,54.0,010,22500E,68.0,6470696.1,1849916.1
1130,1483351,1110385043,2015-01-28T00:00:00,725.0,,,CA,200415.0,,NISS,PA,BR,1061 CALZONA ST,,1.0,010,22500E,68.0,6502635.3,1830357.0
1131,1483371,1110401865,2015-01-31T00:00:00,2130.0,,,CA,201508.0,,PONT,PA,BR,6660 ESPLANADE PL,,36.0,8603,PK IN PROH AREA,68.0,6425195.9,1808296.0
1132,1483396,1110568550,2015-02-03T00:00:00,156.0,,,CA,201412.0,,DATS,TR,BR,A/F 114 S BONNIE BRA,00602,56.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
1133,1483541,1110787204,2015-02-03T00:00:00,1429.0,,,CA,,,GRUM,VN,BR,1701 E CESAR E CHAVE,645A,56.0,024,22514,68.0,6495750.5,1841081.9
1134,1483560,1110787436,2015-02-02T00:00:00,1439.0,,,CA,,,GRUM,VN,BR,1701 E CESAR E CHAVE,641A,56.0,024,22514,68.0,6495750.5,1841081.9
1135,1483819,1111814071,2015-02-02T00:00:00,825.0,,,CA,201506.0,,FORD,PA,BR,18601 HATTERAS ST,00373,53.0,8069BS,NO PARK/STREET CLEAN,73.0,6398744.8,1887292.7
1136,1483849,1111816521,2015-01-30T00:00:00,1018.0,,,CA,201507.0,,VOLV,PA,BR,5501 ETIWANDA AV,00373,53.0,8069BS,NO PARK/STREET CLEAN,73.0,6401099.5,1884596.6
1137,1504305,1103146634,2015-01-30T00:00:00,2325.0,,,CA,201504.0,,SATU,PA,BR,944 W 76TH ST,00012,1.0,8056E4,RED ZONE,93.0,6473666.9,1811852.9
1138,1504456,1109652950,2015-02-04T00:00:00,1515.0,,,CA,,,,TR,BR,3500 W WILSHIRE BL,00481,54.0,8056E4,RED ZONE,93.0,6470692.5,1844991.1
